"date","uid","gender","age","incentive","amount"
2014-01-01,c6917b097573417153e1cd39,F,44,Be Active,25
2014-02-01,c6917b097573417153e1cd39,F,44,Be Active,25
2014-03-01,c6917b097573417153e1cd39,F,44,Be Active,25
2014-05-01,c6917b097573417153e1cd39,F,44,Be Active,50
2014-06-01,c6917b097573417153e1cd39,F,44,Be Active,25
2014-07-01,c6917b097573417153e1cd39,F,44,Be Active,25
2014-08-01,c6917b097573417153e1cd39,F,44,Be Active,25
2014-09-01,c6917b097573417153e1cd39,F,44,Be Active,25
2014-11-01,c6917b097573417153e1cd39,F,44,Be Active,25
2014-02-01,1ef765ebea00608d35c9d136,F,44,Be Active,25
2014-02-01,5e9191de6b5174c5dc8c0dc9,NULL,32,Be Active,25
2014-02-01,d9742347798feb5aec8f178a,NULL,34,Be Active,25
2014-03-01,d9742347798feb5aec8f178a,NULL,34,Be Active,25
2014-05-01,d9742347798feb5aec8f178a,NULL,34,Be Active,25
2014-06-01,d9742347798feb5aec8f178a,NULL,34,Be Active,25
2014-07-01,d9742347798feb5aec8f178a,NULL,34,Be Active,25
2014-09-01,d9742347798feb5aec8f178a,NULL,34,Be Active,25
2014-10-01,d9742347798feb5aec8f178a,NULL,34,Be Active,25
2014-02-01,5de6e756e2e154da8e7bbe5c,F,31,Be Active,25
2014-03-01,5de6e756e2e154da8e7bbe5c,F,31,Be Active,25
2014-04-01,5de6e756e2e154da8e7bbe5c,F,31,Be Active,25
2014-05-01,5de6e756e2e154da8e7bbe5c,F,31,Be Active,25
2014-06-01,5de6e756e2e154da8e7bbe5c,F,31,Be Active,25
2014-07-01,5de6e756e2e154da8e7bbe5c,F,31,Be Active,25
2014-08-01,5de6e756e2e154da8e7bbe5c,F,31,Be Active,25
2014-02-01,cff962733fa90f059ee26622,F,32,Be Active,25
2014-05-01,cff962733fa90f059ee26622,F,32,Be Active,75
2014-02-01,ab50f7b55453d23b3ce5a346,M,45,Be Active,25
2014-03-01,ab50f7b55453d23b3ce5a346,M,45,Be Active,25
2014-04-01,ab50f7b55453d23b3ce5a346,M,45,Be Active,50
2014-05-01,ab50f7b55453d23b3ce5a346,M,45,Be Active,50
2014-09-01,ab50f7b55453d23b3ce5a346,M,45,Be Active,25
2014-10-01,ab50f7b55453d23b3ce5a346,M,45,Be Active,25
2014-02-01,1d3f805ec2d67d3f7d6c6d39,F,32,Be Active,25
2014-02-01,37c92ed20e5098008d5ac0ef,NULL,28,Be Active,25
2014-03-01,37c92ed20e5098008d5ac0ef,NULL,28,Be Active,25
2014-04-01,37c92ed20e5098008d5ac0ef,NULL,28,Be Active,25
2014-05-01,37c92ed20e5098008d5ac0ef,NULL,28,Be Active,25
2014-06-01,37c92ed20e5098008d5ac0ef,NULL,28,Be Active,25
2014-07-01,37c92ed20e5098008d5ac0ef,NULL,28,Be Active,25
2014-09-01,37c92ed20e5098008d5ac0ef,NULL,28,Be Active,25
2014-02-01,077e04af02c1e19cec7d5975,F,37,Be Active,25
2014-08-01,077e04af02c1e19cec7d5975,F,37,Be Active,25
2014-02-01,f9aa0ffa8a79238fca7f3a25,M,38,Be Active,25
2014-05-01,f9aa0ffa8a79238fca7f3a25,M,38,Be Active,50
2014-06-01,f9aa0ffa8a79238fca7f3a25,M,38,Be Active,75
2014-07-01,f9aa0ffa8a79238fca7f3a25,M,38,Be Active,50
2014-02-01,dbbaf5677889cfbdbb5a4798,F,31,Be Active,25
2014-03-01,dbbaf5677889cfbdbb5a4798,F,31,Be Active,25
2014-04-01,dbbaf5677889cfbdbb5a4798,F,31,Be Active,50
2014-05-01,dbbaf5677889cfbdbb5a4798,F,31,Be Active,50
2014-06-01,dbbaf5677889cfbdbb5a4798,F,31,Be Active,25
2014-07-01,dbbaf5677889cfbdbb5a4798,F,31,Be Active,25
2014-08-01,dbbaf5677889cfbdbb5a4798,F,31,Be Active,25
2014-10-01,dbbaf5677889cfbdbb5a4798,F,31,Be Active,25
2014-11-01,dbbaf5677889cfbdbb5a4798,F,31,Be Active,25
2014-12-01,dbbaf5677889cfbdbb5a4798,F,31,Be Active,25
2014-02-01,e943b07504fd2f435320c640,F,42,Be Active,50
2014-03-01,e943b07504fd2f435320c640,F,42,Be Active,50
2014-04-01,e943b07504fd2f435320c640,F,42,Be Active,75
2014-05-01,e943b07504fd2f435320c640,F,42,Be Active,50
2014-06-01,e943b07504fd2f435320c640,F,42,Be Active,75
2014-07-01,e943b07504fd2f435320c640,F,42,Be Active,50
